iter	RMSE
0	1.365287812
1	1.312571097
2	1.26027504
3	1.213804747
4	1.168884709
5	1.127252984
6	1.087597864
7	1.053417409
8	1.021313293
9	0.9889488274
10	0.9597607488
11	0.929968226
12	0.8994474235
13	0.8760546868
14	0.8536153622
15	0.8302707513
16	0.8068727627
17	0.7889158727
18	0.7723628803
19	0.7547913122
20	0.7399446997
21	0.7267372442
22	0.714134809
23	0.6971253226
24	0.6849363454
25	0.6735472189
26	0.6583384925
27	0.6434673535
28	0.6308479461
29	0.6213135877
30	0.6134028666
31	0.6000412168
32	0.586073845
33	0.5790798993
34	0.5672514898
35	0.5618035525
36	0.5495492195
37	0.5432649637
38	0.5335364648
39	0.5228254564
40	0.5124781228
41	0.5072731514
42	0.4978473521
43	0.4929806844
44	0.4882595517
45	0.4808177882
46	0.4748418856
47	0.4675729919
48	0.4616715045
49	0.4581200254
50	0.4516297236
51	0.4482389038
52	0.4435961554
53	0.4407625568
54	0.4344698478
55	0.4324109864
56	0.4274928937
57	0.4238044849
58	0.4217463673
59	0.41937858
60	0.4169515487
61	0.4145902711
62	0.4120687485
63	0.4104480385
64	0.4089242041
65	0.4069106717
66	0.4044417246
67	0.4030243122
68	0.4009075037
69	0.3993408062
70	0.3958656966
71	0.3939358615
72	0.3929520586
73	0.3899624281
74	0.3885970918
75	0.384653054
76	0.3835330996
77	0.3811439821
78	0.3801360028
79	0.3768184743
80	0.3753252777
81	0.3746467042
82	0.3740825537
83	0.3731445346
84	0.3722156957
85	0.3713074609
86	0.3705594771
87	0.3692963401
88	0.3684344584
89	0.3665599181
90	0.3641738137
91	0.3632823791
92	0.3623942948
93	0.3617011847
94	0.3607740851
95	0.3601706571
96	0.3596726122
97	0.358480423
98	0.3579342164
99	0.3572648771
100	0.3551257639
101	0.3549576624
102	0.3526683183
103	0.3522304036
104	0.3508600831
105	0.3499749615
106	0.3490424601
107	0.3486269335
108	0.3468565129
109	0.3456092032
110	0.3452301416
111	0.3446316648
112	0.3443512751
113	0.3433775
114	0.3428675807
115	0.3426354117
116	0.3420919538
117	0.3414912789
118	0.3405002846
119	0.3394978465
120	0.338247352
121	0.3379195117
122	0.3373457616
123	0.3368226801
124	0.3353478037
125	0.3347629768
126	0.3339902931
127	0.3337488299
128	0.3333442578
129	0.3328246835
130	0.3325431866
131	0.3319126076
132	0.3314317607
133	0.3310712561
134	0.3308214579
135	0.3306327231
136	0.330076262
137	0.3298544061
138	0.3295794961
139	0.3291089266
140	0.3283019688
141	0.3281724777
142	0.3277844981
143	0.3272954999
144	0.3269681711
145	0.3266042948
146	0.3264241365
147	0.3255176454
148	0.324971535
149	0.3241280323
150	0.3237486582
151	0.3230951583
152	0.3228796915
153	0.3226064481
154	0.3220108696
155	0.3211513947
156	0.3205570935
157	0.3203531057
158	0.3201706344
159	0.3196270259
160	0.3193925561
161	0.319128624
162	0.3184267792
163	0.3175065325
164	0.3171370954
165	0.3170319263
166	0.3167333383
167	0.3163871802
168	0.316012392
169	0.3157016574
170	0.3152498885
171	0.3149675586
172	0.3144614674
173	0.3143428828
174	0.3138925132
175	0.313443501
176	0.313148497
177	0.3128439654
178	0.3125130553
179	0.3123798947
180	0.3119171524
181	0.3113021474
182	0.3110892627
183	0.3106680459
184	0.3101474805
185	0.3098834991
186	0.3096593644
187	0.3093414271
188	0.3090694125
189	0.3089168173
190	0.3086987818
191	0.3083767133
192	0.3082022025
193	0.3080233752
194	0.3078254788
195	0.3075237796
196	0.3073275144
197	0.3068251399
198	0.3066483898
199	0.3062716075
200	0.3060336812
201	0.3057844082
202	0.3054608418
203	0.3052766609
204	0.3050604425
205	0.3047736459
206	0.3045708317
207	0.3043902784
208	0.304187375
209	0.3040679855
210	0.3037109641
211	0.3034167632
212	0.3030412286
213	0.3028772453
214	0.3026790293
215	0.3023138114
216	0.3020642724
217	0.3018831538
218	0.3017558429
219	0.301496044
220	0.3013080014
221	0.3010799249
222	0.3009092075
223	0.3008026792
224	0.3006103267
225	0.3004775212
226	0.3000993237
227	0.299899241
228	0.2997875358
229	0.2995971968
230	0.2994707752
231	0.2991715909
232	0.2989638402
