iter	Passed	Remaining
0	6	6343
1	10	5246
2	13	4619
3	17	4296
4	20	4079
5	25	4212
6	28	4063
7	31	3948
8	35	3963
9	44	4444
10	51	4591
11	55	4532
12	59	4484
13	62	4401
14	65	4329
15	69	4268
16	73	4240
17	76	4193
18	80	4144
19	83	4096
20	87	4078
21	90	4026
22	93	3981
23	96	3940
24	99	3897
25	103	3891
26	107	3858
27	110	3826
28	113	3797
29	116	3767
30	120	3757
31	123	3731
32	126	3706
33	129	3684
34	132	3662
35	136	3651
36	139	3632
37	142	3613
38	145	3594
39	148	3575
40	152	3568
41	155	3550
42	158	3533
43	162	3520
44	165	3504
45	168	3498
46	171	3487
47	175	3474
48	178	3466
49	182	3461
50	185	3458
51	189	3445
52	192	3434
53	195	3422
54	198	3410
55	201	3404
56	205	3393
57	208	3383
58	211	3373
59	214	3363
60	218	3358
61	221	3347
62	224	3338
63	227	3329
64	230	3320
65	234	3316
66	237	3309
67	240	3300
68	244	3292
69	247	3283
70	250	3278
71	253	3272
72	257	3264
73	260	3257
74	263	3249
75	266	3244
76	269	3236
77	273	3229
78	276	3221
79	279	3217
80	283	3212
81	286	3204
82	289	3195
83	292	3186
84	295	3179
85	298	3176
86	301	3168
87	305	3161
88	308	3154
89	311	3148
90	314	3145
91	317	3137
92	320	3130
93	324	3124
94	327	3119
95	330	3116
96	334	3110
97	337	3105
98	340	3100
99	343	3094
100	347	3090
101	349	3075
102	352	3069
103	355	3063
104	358	3057
105	362	3056
106	365	3050
107	368	3043
108	372	3041
109	375	3036
110	378	3035
111	382	3029
112	385	3022
113	388	3018
114	391	3011
115	394	3009
116	398	3004
117	401	2998
118	404	2996
119	408	2992
120	411	2991
121	414	2985
122	418	2982
123	421	2978
124	425	2977
125	428	2971
126	431	2969
127	435	2965
128	438	2960
129	442	2959
130	445	2953
131	448	2948
132	451	2943
133	454	2939
134	458	2936
135	461	2931
136	464	2926
137	467	2921
138	470	2916
139	474	2912
140	477	2908
141	480	2902
142	483	2897
143	486	2892
144	490	2890
145	493	2885
146	496	2880
147	499	2875
148	502	2871
149	506	2869
150	509	2864
151	512	2859
152	515	2854
153	518	2849
154	522	2847
155	525	2845
156	529	2840
157	532	2835
158	535	2830
159	538	2827
160	541	2822
161	544	2817
162	547	2813
163	550	2808
164	554	2807
165	557	2802
166	560	2797
167	563	2793
168	567	2788
169	570	2786
170	573	2781
171	576	2777
172	580	2772
173	583	2768
174	586	2766
175	589	2761
176	593	2757
177	596	2753
178	599	2749
179	602	2746
180	606	2742
181	609	2738
182	612	2733
183	615	2729
184	619	2727
